Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
bc1qhhvz800fc07lwgjcnc5r7wzfx9lndhqssmfpvq,257,257,0.01285,0,0,-0.01285
bc1qv64gwnm4ytf4dn98hfhy40xdcpgjvlaxp5ze9s,24,12,0.13831614,12,0.13829154,-2.46E-05
bc1qpc4yn9257klcr8khgkm4sv6a3glls4t5q8fum0,23,23,0.01499117,0,0,-0.01499117
bc1qvzkyhuxah7nkfkukm7n3vxpx63lsmr4tjqv33p,20,10,0.07594045,10,0.07591995,-2.05E-05
bc1qkkgqlt4vrncy6dmc6vc3tk7xtcpxqu2sfwmlsl,18,9,0.06536565,9,0.0653472,-1.85E-05
bc1qd033ndspp24ucf7x3y2pn4yqaqv3dd6p5hp4lu,18,9,0.12229524,9,0.12227679,-1.85E-05
bc1qnlt66ekszxxc27rm9tmsx322d6drmc3aduyrqe,18,18,0.11769804,0,0,-0.11769804
bc1qu3dc4f5hd7a0v007ksv5ccjcpg92slkhv8aw0t,14,7,0.0616182,7,0.06160385,-1.43E-05
bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf,12,6,25.52449668,6,25.18123825,-0.34325843
1J9od5JJifjZaaNAsFRhSK5u3Dwq5s24Lu,12,12,3.6,0,0,-3.6
bc1qap77ht4k69k6pvvave49fj5ljyzljrxrkxq6k5,10,0,0,10,0.07382123,0.07382123
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,8,2,1.85924057,6,14.34529991,12.48605934
bc1qsxsc7sdasdsxnnh0mt39vrvhzmjk38qum9pljq,8,0,0,8,0.0975366,0.0975366
bc1q72q5gws6fdqvweksznqgndzm03cruqa2w9uuqy,8,7,0.01100379,1,0.05116406,0.04016027
bc1qnaggweax8ggf7hzg02cf59kxp338k60s6fsg52,8,4,0.0498761,4,0.0498679,-8.20E-06
bc1q2elqskyvgtc87zsgn5zuccm86pw7gckg7qnvva,8,4,0.69880879,4,0.67953931,-0.01926948
bc1qvhpz2fcdf63nxgnq08z3ewc6ep5zd6pjxr5hzu,8,8,0.04370456,0,0,-0.04370456
bc1q7vjhtc7lcujjw4376fdhmf095fewdad7v87t0e,8,8,0.73136,0,0,-0.73136
bc1qqqp53p2cls7aqe67564qv2llfvvjdtwrqu3jnu,7,4,0.05924168,3,0.07923022,0.01998854
1FhpGaMxGZCfHkBASNRdacrfD1XDEcXkDt,7,7,0.0047425,0,0,-0.0047425
bc1q2y7rfs8fjpv53z04yey6guueqk9rvktsujnulr,6,0,0,6,0.02071311,0.02071311
