Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
12cKhEQTcvjdvwrBfPAkKZKiWsaFtzUiuN,1,0,0,1,50.0,50.0
14vgVriusgVUzdm8hjy1abwb2fwi4NayHU,1,0,0,1,50.0,50.0
1BBByni3fEdsE83Ssn1h1xUJMGT9jpPTuH,1,0,0,1,50.0,50.0
1DPurQWWjdREwHKq8ftMcAaVdcSEhmKMLf,1,0,0,1,50.0,50.0
1L5He4DM9R1Em73NhEUew51Dm7UUG6UryJ,1,0,0,1,50.0,50.0
19FiheoL7B5n55m8uazLALYsb3AEnydqSf,1,0,0,1,50.0,50.0
1FJNXCbGwkWwexvf2GDJ9igetHsoEtVQyS,1,0,0,1,50.0,50.0
1AAJUzKV5dKWrUC3jeqpJnwJ2PWa7jYsoR,1,0,0,1,50.0,50.0
12ZHnBV4RJevajwBfma13erThpNbL7q5QQ,1,0,0,1,50.0,50.0
1K7aKTuGGHsVme7aowxC59AZmm7HJ8xX3D,1,0,0,1,50.0,50.0
1CygJ7Coaau9MFz8cTLq3qc1BSBQGsY2Wu,1,0,0,1,50.0,50.0
1Jwg9674iCtN1KPyHPGc7VrGcmHbsrHYW,1,0,0,1,50.0,50.0
1B2ddRUpsEvpC6LzjhvVyGYKHC9esAMGYR,1,0,0,1,50.0,50.0
18aMK2n69Qe8VoQirXQuoyeK715oZKyKM9,1,0,0,1,50.0,50.0
1FWnsbFFXhk74u3cAk718Vtay3T1MpwBBi,1,0,0,1,50.0,50.0
1EwPSvUeLyd8enn3TKD8tX8Tg3PXhFFYMt,1,0,0,1,50.0,50.0
19WiKdJ9BCKVT93iK8rJWeHa574aaNDFiY,1,0,0,1,50.0,50.0
1NotwpD5tWhYakrMPZtZ3TVUdxDg5sBfpN,1,0,0,1,50.0,50.0
1AjZULVPuSotU6Le6nynpDdonGvmsCtKYe,1,0,0,1,50.0,50.0
1NMZdnwK8bMe6kVDC44u7SitNaNSqs7YsY,1,0,0,1,50.0,50.0
1LSPG3t5visz7AVhLqTNMPWUxhEbAGKxjg,1,0,0,1,50.0,50.0
19Fp4XYHGUwjaKMboMzhiqKFfbP3Q2CuGy,1,0,0,1,50.0,50.0
1JGABkM1aEtqQkvkBbWbuogpDPEpPvB652,1,0,0,1,50.0,50.0
1LPGoa6ntKGMeoZLwUCFFBcFnsDGkWmwF2,1,0,0,1,50.0,50.0
1D9J4fjH7rWKaiothm2rVrnibiytafq267,1,0,0,1,50.0,50.0
14VEuwZZ1gReB6hWrcDX8icGWRQh1Ys2dk,1,0,0,1,50.0,50.0
15if5E6VnShJhXBHoadnNv8SR48uDrPY5o,1,0,0,1,50.0,50.0
17B5ECmm34RMhzQp7uoayTzNC14tXm33bY,1,0,0,1,50.0,50.0
